car_title,location,year,price,kilometers,transmission_type,number_of_doors,source,model,color,contact_number,brand
Mercedes-Benz E 350 2024,"Al Maabilah, Muscat•",2024,"OMR 27,900",13000,Automatic,'4/5,US,E 350,Grey,N/A,Mercedes
BMW X6 2015 I50,"Qurum, Muscat•",2015,"OMR 8,000",91000,Automatic,'4/5,GCC,X6,White,N/A,BMW
نيسان باترول 2016,"Al Seeb, Muscat•",2016,"OMR 7,800",254000,Automatic,'4/5,GCC,Patrol,White,N/A,Nissan
Mercedes-Benz E300 2017,"Azaiba, Muscat•",2017,"OMR 7,900",178000,Automatic,'4/5,US,E300,Blue,N/A,Mercedes
فورد رابتور 2017,"Barka, Al Batinah•",2017,"OMR 11,600",225000,Automatic,'4/5,GCC,Raptor,Red,N/A,Ford
لاند روفر رنج روفر سبورت 2019,"Al Maabilah, Muscat•",2019,"OMR 18,900",92000,Automatic,N/A,US,Range Rover Sport,White,N/A,Unknown
كاديلاك إسكاليد 2020 Cadillac Escalade,"Al Maabilah, Muscat•",2020,"OMR 15,500",69000,Automatic,N/A,US,Escalade,Silver,N/A,Unknown
مازيراتي جران توريزمو 2024 Maserati ghibli modena,"Al Maabilah, Muscat•",2024,"OMR 217,000",14000,Automatic,N/A,US,GranTurismo,White,N/A,Unknown
إنفينيتي كيو إكس56 2013 Infinite QX56,"Al Maabilah, Muscat•",2013,"OMR 5,900",100000,Automatic,N/A,US,QX56,Other,N/A,Unknown
لكزس فئة -ار إكس 2021 Lexus RX 350,"Al Maabilah, Muscat•",2021,"OMR 11,600",35000,Automatic,N/A,US,RX-Series,Black,N/A,Unknown
لاند روفر رنج روفر 2013 Range Rover Vouge SE,"Al Maabilah, Muscat•",2013,"OMR 6,900",180000,Automatic,N/A,US,Range Rover,Gold,N/A,Unknown
كاديلاك سي تي 4 2021 Cadillac CT4,"Al Maabilah, Muscat•",2021,"OMR 12,900",40000,Automatic,N/A,US,CT4,White,N/A,Unknown
فورد إكسبديشن 2018,"Al Maabilah, Muscat•",2018,"OMR 9,900",233000,Automatic,N/A,US,Expedition,White,N/A,Unknown
جيب رانجلر روبيكون 2020 Jeep Wrangler Rubicon,"Al Maabilah, Muscat•",2020,"OMR 11,800",80000,Automatic,N/A,US,Wrangler,Grey,N/A,Unknown
